Analyst Username,URL Username,Ticker,Quarter,Reports,Published,EPS,Revenue
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q1 2022,</div> 61 / 82,-4,-5,-9
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q3 2021,</div> 205 / 234,-24,-4,-28
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q1 2021,</div> 366 / 382,-8,-23,-31
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q1 2021,</div> 20 / 20,-25,-25,-50
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q1 2021,</div> 14 / 15,-8,-9,-17
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q4 2021,</div> 84 / 111,9,-3,6
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">GEN</strong>",Q3 2021,</div> 8 / 14,-1,11,10
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q4 2020,</div> 397 / 413,-3,-25,-28
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q2 2021,</div> 273 / 276,-8,-5,-13
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q4 2020,</div> 20 / 21,-14,-23,-37
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q4 2020,</div> 1 / 16,10,25,35
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q3 2021,</div> 99 / 116,-9,-7,-16
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q1 2021,</div> 199 / 272,-6,11,5
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">INTC</strong>",Q3 2020,</div> 154 / 160,-6,-25,-31
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q3 2020,</div> 19 / 21,-9,-3,-12
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q3 2020,</div> 461 / 472,-10,-25,-35
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q3 2020,</div> 16 / 17,-6,-11,-17
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">WFC</strong>",Q3 2020,</div> 8 / 46,18,10,28
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">BAC</strong>",Q3 2020,</div> 53 / 66,-4,-6,-10
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">C</strong>",Q3 2020,</div> 18 / 42,11,-2,9
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">ZM</strong>",Q2 2021,</div> 6 / 112,10,17,27
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">FCX</strong>",Q2 2020,</div> 15 / 20,11,-8,3
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">MSFT</strong>",Q4 2020,</div> 234 / 363,6,10,16
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">TSLA</strong>",Q2 2020,</div> 61 / 636,13,19,32
Analyst_4048130,analyst_4048130,"<strong class=""profile-tbl-ticker"">IBKR</strong>",Q2 2020,</div> 23 / 24,-19,-6,-25
ebow,ebow,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
ebow,ebow,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Joseph Djen,josephd6,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_8087904,analyst_8087904,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_8087904,analyst_8087904,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_5523864,analyst_5523864,"<strong class=""profile-tbl-ticker"">NVDA</strong>",Q2 2020,</div> 255 / 287,18,-25,-7
Analyst_5523864,analyst_5523864,"<strong class=""profile-tbl-ticker"">ADBE</strong>",Q2 2019,</div> 38 / 142,11,21,32
Analyst_3926000,analyst_3926000,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_4411670,analyst_4411670,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_9593416,analyst_9593416,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">DELL</strong>",Q3 2024,"Nov 30, 2023 <abbr title=""After Market Closes"">AMC</abbr>","Nov 6, 2023",1.51,"24,250"
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">AVGO</strong>",Q4 2023,"Dec 7, 2023 <abbr title=""After Market Closes"">AMC</abbr>","Nov 22, 2023",11.03,"9,320"
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">COST</strong>",Q1 2024,"Dec 14, 2023 <abbr title=""Before Market Opens"">BMO</abbr>","Nov 22, 2023",3.47,"57,925"
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">GIS</strong>",Q2 2024,"Dec 20, 2023 <abbr title=""Before Market Opens"">BMO</abbr>","Nov 22, 2023",1.17,"5,405"
rsreina,rsreina,"<strong class=""profile-tbl-ticker"">NKE</strong>",Q2 2024,"Dec 21, 2023 <abbr title=""After Market Closes"">AMC</abbr>","Nov 22, 2023",0.89,"13,500"
Analyst_8891778,analyst_8891778,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
Analyst_8891778,analyst_8891778,"<strong class=""profile-tbl-ticker"">",</a> </div>,"<div class=""td profile-stcks-tbl-quarters""> </div>",</div>,</div>,</div>
